operation,max_abs_error,atol,rtol,passed
embeddings,0.0,2e-05,1e-05,True
attention_01,0.0,2e-05,1e-05,True
encoder_01,0.0,2e-05,1e-05,True
attention_02,0.0,2e-05,1e-05,True
encoder_02,0.0,2e-05,1e-05,True
attention_03,0.0,2e-05,1e-05,True
encoder_03,0.0,2e-05,1e-05,True
attention_04,0.0,2e-05,1e-05,True
encoder_04,0.0,2e-05,1e-05,True
attention_05,0.0,2e-05,1e-05,True
encoder_05,0.0,2e-05,1e-05,True
attention_06,0.0,2e-05,1e-05,True
encoder_06,0.0,2e-05,1e-05,True
attention_07,0.0,2e-05,1e-05,True
encoder_07,0.0,2e-05,1e-05,True
attention_08,0.0,2e-05,1e-05,True
encoder_08,0.0,2e-05,1e-05,True
attention_09,0.0,2e-05,1e-05,True
encoder_09,0.0,2e-05,1e-05,True
attention_10,0.0,2e-05,1e-05,True
encoder_10,0.0,2e-05,1e-05,True
attention_11,0.0,2e-05,1e-05,True
encoder_11,0.0,2e-05,1e-05,True
attention_12,0.0,2e-05,1e-05,True
encoder_12,0.0,2e-05,1e-05,True
pooler,0.0,2e-05,1e-05,True
logits,0.0,2e-05,1e-05,True
softmax,3.725290298461914e-09,2e-05,1e-05,True
